,conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
230,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05010f6c-0b40-4525-ac4a-057d46a2b6f4,skill/competence,cross-sector,design electrical systems,"draw electrical systems
designing electrical systems
drawing electrical systems
electrical system drawing
electrical systems drawing
electrical systems designing
electrical system designing",,released,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Draft sketches and design electrical systems, products, and components using Computer Aided Design (CAD) software and equipment. Draw panel arrangement layouts, electrical schematics, electrical wiring diagrams, and other assembly details."
241,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a,skill/competence,sector-specific,define firewall rules,"specify access control policies
set firewall rules",,released,2025-06-25T08:45:06.159Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Specify rules to govern a set of components aiming to limit access between groups of networks or a particular network and the internet.
248,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/055ff233-6569-43db-9f95-a4b03dca97da,skill/competence,sector-specific,operate warehouse record systems,"maintain records of products and order information using warehouse system
record product information using warehouse systems
utilise warehouse record systems
use warehouse record systems
use record systems in warehouses
log information with warehouse record system
utilise record systems in warehouses
record information using warehouse systems
operate record systems in warehouses",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Operate systems for recording product, packaging, and order information in specific formats and types of record."
262,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05b70efb-6b80-4f04-9a25-67cd317daf37,knowledge,sector-specific,CryEngine,CRYENGINE,"CryEngine 2
CryEngine 3
CryEngine 1",released,2023-06-09T15:25:09.049Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The game engine CryEngine which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games."
285,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/061f1c12-9811-46f7-ab3e-1d28367d6c73,skill/competence,sector-specific,use CAD for soles,"use CAD for sole designing
use CAD for soles and heels
use computer-aided design for soles
employ computer-aided design for soles and heels
use CAD for sole and heels designing
use computer-aided design for soles and heels
employ CAD for soles and heels
employ CAD for sole and heels designing
employ computer-aided design for soles
employ CAD for sole designing",,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Digitise and scan the lasts. Work with files in various CAD systems. Produce 3D models of soles and create 2D computer aided designs. Grade and obtain the size series. Prepare technical specifications for manufacturing. Produce 2D and 3D computer aided engineering designs and technical drawings of moulds for vulcanised and injected soles. Export the files of the virtual models to 3D printers, CAM or CNC systems."
286,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0620ecd1-e4b1-4dfa-972b-38a93e5ebd9d,skill/competence,sector-specific,create 3D environments,"build 3D environments
generate 3D environments
develop 3D representation
design 3D environments
develop 3D environments",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Develop a computer-generated 3D representation of a setting such as simulated environment, where the users interact."
287,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,skill/competence,cross-sector,perform online data analysis,"implement online data analysis
undertake online data analysis
performing online data analysis
perform an online data analysis
performing an online data analysis
complete online data analysis",,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Analyse online experiences and online data for purposes of understanding user behaviour, triggers of online attention, and other factors that could optimise webpage development and exposure."
291,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,skill/competence,sector-specific,manage IT security compliances,"oversee IT security compliance
ensure compliance with information security regulations",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Guide application and fulfilment of relevant industry standards, best practices and legal requirements for information security."
328,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,knowledge,sector-specific,keywords in digital content,metadata tagging,,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The digital tools to conduct keyword research. The information retrieval systems identify the content of a document guided by keywords and metadata.
333,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/071233c4-ad2b-4f50-b79f-768d2231163e,knowledge,sector-specific,domain name service,"DNS
DNS server",BIND,released,2023-11-29T16:27:22.76Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Naming database which maps internet domain names to Internet Protocol (IP) addresses. The Domain Name System allows internet users to utilise names such as website titles instead of remembering numeric IP addresses used by computers to locate a concrete website.
336,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/071a4197-06b3-4226-b9a1-efd15913280a,skill/competence,sector-specific,model medical devices,"simulate medical devices
medical device modelling
medical device simulating
modelling medical devices
simulating medical devices
medical devices modelling
medical devices simulating",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Model and simulate medical devices using technical design software.
343,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0737ad0a-75ac-4696-988b-565820577ac0,skill/competence,sector-specific,use experience map,"examine touchpoints with a brand
determine the duration of a touchpoint
examine touchpoints with a service
determine the frequency of a touchpoint
examine touchpoints with a product",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Examine all the interactions and touchpoints people have with a product, brand or service. Determine key variables such as duration and frequency of every touchpoint."
355,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,knowledge,occupation-specific,captioning software,"captioning program
caption software
captioning plugin",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The various software to create captions and subtitles in a file that is merged with the actual footage, such as Telestream and MovieCaptioners."
362,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07884056-a07a-40b7-bba3-1ceed61f529c,knowledge,sector-specific,blockchain signature schemes,"signature schemes for blockchain
digital signature schemes",,released,2023-11-29T16:30:54.622Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Essential digital signature schemes include the RSA scheme, the El-Gamal scheme, Hash functions, Birthday Attacks, the Digital Signature Standard."
364,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,skill/competence,sector-specific,normalise data,"prepare data
normalize data
perform data pre-processing",,released,2022-07-05T14:38:14.9Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Reduce data to their accurate core form (normal forms) in order to achieve such results as minimisation of dependency, elimination of redundancy, increase of consistency."
382,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,skill/competence,sector-specific,create prototype of user experience solutions,UX,,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Design and prepare mock-ups, prototypes and flows in order to test User Experience (UX) solutions or to collect feedback from users, customers, partners or stakeholders."
385,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,skill/competence,cross-sector,apply system organisational policies,"adhere to organisational system guidelines
enforce organisational system policies
implement system regulations",,released,2024-02-29T16:52:04.742Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Implement internal policies related to the development, internal and external usage of technological systems, such as software systems, network systems and telecommunications systems, in order to achieve a set of goals and targets regarding the efficient operations and growth of an organisation."
386,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328,skill/competence,cross-sector,propose ICT solutions to business problems,propose technical solutions to business problems,,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Suggest how to solve business issues, using ICT means, so that business processes are improved."
388,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e6bc9f-9c98-44ae-a7a3-5266caa393e1,skill/competence,sector-specific,calculate costs of repair operations,"calculating costs of repair operations
calculate the costs of repair operations
tally costs of repair operations
forecast costs of repair operations
count costs of repair operations
calculate the cost of repair operations
measure costs of repair operations",,released,2022-07-05T14:38:14.433Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Calculate material and labour costs of repair operations. Understand appropriate computer programmes.
389,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07ebc888-0f3f-46e7-99d2-a7c7ebd7ffe3,knowledge,sector-specific,property management software,"PMS
real estate management software
property operations software",,released,2023-11-29T16:29:35.878Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The features and functioning of a software that enables the management of daily operations in real estate and accommodation businesses, to optimise resources and processes such as booking reservations, room rates, revenue data analytics or billing."
406,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08236fee-c405-4f30-8858-f10d7d5c94b7,skill/competence,occupation-specific,operate media integration systems,"manage multimedia integration systems for performing art
operate media integration systems during rehearsals
operate media integration systems for performing art
operate media integration systems during live performances
manage multimedia integration systems",,released,2024-02-23T09:28:30.804Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Operate a media integration system for performing art and event applications during setup, configuration, rehearsals and during live performances."
407,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,knowledge,cross-sector,computer simulation,"simulation software ANSYS
computer-based simulation",,released,2025-04-11T13:04:46.998Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","A programme run on a computer that represents dynamic responses of a system to explore a mathematical model behaviour, using a model of a real system, composed of mathematical equations."
418,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/085bfce5-70fe-43da-9499-307725e89bbc,knowledge,sector-specific,WizIQ,"WizIQ program
WizIQ e-learning platform
WizIQ programme",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The computer program WizIQ is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs."
421,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,skill/competence,sector-specific,administer ICT system,"administer system
operate system
administer network and system",,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Handle components of ICT system by maintaining configuration, managing users, monitoring resource use, performing backups and installing hardware or software to comply with the set requirements."
440,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08a3dcea-12de-447b-a3a5-aa657abc5e97,skill/competence,sector-specific,execute social engineering tests,"perform social engineering tests
execute social engineering attacks
test social engineering
perform social engineering attacks
test social engineering attacks",,released,2023-11-29T16:22:44.031Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Perform simulated social engineering attacks to identify vulnerabilities in an organization's security posture. Social engineering tests may involve phishing emails, pretexting, or other forms of manipulation used by attackers to obtain sensitive information or unauthorized access to systems."
444,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,skill/competence,cross-sector,manage research data,"oversee scientific data
handle research data
administer research data",,released,2024-03-01T11:59:56.801Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/research,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Produce and analyse scientific data originating from qualitative and quantitative research methods. Store and maintain the data in research databases. Support the re-use of scientific data and be familiar with open data management principles.
481,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/094ef6aa-844f-44ce-8456-fdc49276bf58,knowledge,sector-specific,digital printing,"plotter
electronic printing
digital printings",,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The technique that allows printing a digital-based image directly onto a variety of materials, mostly using inkjet or laser printer."
511,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09cf2c34-6f93-4a19-a9f1-c0d866414bcc,knowledge,sector-specific,Cain and Abel (penetration testing tool),"Cain and Abel penetration testing software
Cain and Abel password recovery tool
Cain and Abel
Cain and Abel software for penetration testing
Cain and Abel penetration testing tool",,released,2024-02-23T09:48:33.544Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The software tool Cain and Abel is a password recovery tool which tests the Microsoft Operating System for security weaknesses and potentially unauthorised access to system information. The tool decodes, decrypts and uncovers passwords by means such as brute-force and cryptanalysis attacks, network sniffing and protocols analysis."
523,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,knowledge,cross-sector,systems development life-cycle,application development life-cycle,,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The sequence of steps, such as planning, creating, testing and deploying and the models for the development and life-cycle management of a system."
524,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,knowledge,cross-sector,transportation software related to an ERP system,"transportation software related to an ERP programme
transportation software relating to ERP systems
transportation software relating to an ERP system
transportation software related to ERP systems
transportation software related to ERP operations
transportation software related to an ERP data
transportation software related to ERP administration",,released,2024-02-09T17:29:15.235Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Business management software to collect, manage and interpret data related to shipping, payment, inventory, manufacturing applied in transportation and distribution."
